x,a,l,lp,t,n
-5.2,1,0.9998,1,0.001,0
-4.68,1,0.9998,1,0.001,0
-4.16,1,0.9998,1,0.001,0
-3.64,1,0.9998,1,0.001,0
-3.12,1,0.9998,1,0.001,0
-2.6,1,0.9998,1,0.001,0
-2.08,1,0.9998,1,0.001,0
-1.56,1,0.9998,1,0.001,0
-1.04,1,0.9998,1,0.001,0
-0.52,1,0.9998,1,0.001,0
0,1,0.9998,1,0.001,0.00048122
0.52,1,0.9998,1,0.001,0.00174679
1.04,1,0.9998,1,0.001,0.00318601
1.56,1,0.9998,1,0.001,0.00462269
2.08,1,0.9998,1,0.001,0.00605682
2.6,1,0.9998,1,0.001,0.00748842
3.12,1,0.9998,1,0.001,0.00891748
3.64,1,0.9998,1,0.001,0.01034402
4.16,1,0.9998,1,0.001,0.01176805
4.68,1,0.9998,1,0.001,0.01318956
5.2,1,0.9998,1,0.001,0.01460857
5.72,1,0.9998,1,0.001,0.01602509
6.24,1,0.9998,1,0.001,0.01743911
6.76,1,0.9998,1,0.001,0.01885065
7.28,1,0.9998,1,0.001,0.02025972
7.8,1,0.9998,1,0.001,0.02166631
8.32,1,0.9998,1,0.001,0.02307044
8.84,1,0.9998,1,0.001,0.02447211
9.36,1,0.9998,1,0.001,0.02587133
9.88,1,0.9998,1,0.001,0.02726811
10.4,1,0.9998,1,0.001,0.02866245
10.92,1,0.9998,1,0.001,0.03005436
11.44,1,0.9998,1,0.001,0.03144384
11.96,1,0.9998,1,0.001,0.0328309
12.48,1,0.9998,1,0.001,0.03421555
13,1,0.9998,1,0.001,0.03559779
13.52,1,0.9998,1,0.001,0.03697763
14.04,1,0.9998,1,0.001,0.03835508
14.56,1,0.9998,1,0.001,0.03973014
15.08,1,0.9998,1,0.001,0.03217769
15.6,1,0.9998,1,0.001,0.01199897
16.12,1,0.9998,1,0.001,0
16.64,1,0.9998,1,0.001,0
17.16,1,0.9998,1,0.001,0
17.68,1,0.9998,1,0.001,0
18.2,1,0.9998,1,0.001,0
18.72,1,0.9998,1,0.001,0
19.24,1,0.9998,1,0.001,0
19.76,1,0.9998,1,0.001,0
20.28,1,0.9998,1,0.001,0
-5.2,1,0.9996,0.9998,0.002,0
-4.68,1,0.9996,0.9998,0.002,0
-4.16,1,0.9996,0.9998,0.002,0
-3.64,1,0.9996,0.9998,0.002,0
-3.12,1,0.9996,0.9998,0.002,0
-2.6,1,0.9996,0.9998,0.002,0
-2.08,1,0.9996,0.9998,0.002,0
-1.56,1,0.9996,0.9998,0.002,0
-1.04,1,0.9996,0.9998,0.002,0
-0.52,1,0.9996,0.9998,0.002,0.00018442
0,1,0.9996,0.9998,0.002,0.00147069
0.52,1,0.9996,0.9998,0.002,0.00409679
1.04,1,0.9996,0.9998,0.002,0.00696435
1.56,1,0.9996,0.9998,0.002,0.00982175
2.08,1,0.9996,0.9998,0.002,0.01266903
2.6,1,0.9996,0.9998,0.002,0.01550622
3.12,1,0.9996,0.9998,0.002,0.01833337
3.64,1,0.9996,0.9998,0.002,0.02115053
