x,t,a,l,lp,n
 -5.20000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -4.68000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -4.16000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -3.64000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -3.12000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -2.60000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -2.08000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -1.56000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -1.04000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -0.52000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
  0.00000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00048122
  0.52000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00174679
  1.04000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00318601
  1.56000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00462269
  2.08000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00605682
  2.60000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00748842
  3.12000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00891748
  3.64000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01034402
  4.16000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01176805
  4.68000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01318956
  5.20000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01460857
  5.72000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01602509
  6.24000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01743911
  6.76000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01885065
  7.28000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02025972
  7.80000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02166631
  8.32000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02307044
  8.84000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02447211
  9.36000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02587133
  9.88000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02726811
 10.40000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.02866245
 10.92000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03005436
 11.44000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03144384
 11.96000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03283090
 12.48000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03421555
 13.00000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03559779
 13.52000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03697763
 14.04000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03835508
 14.56000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03973014
 15.08000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.03217769
 15.60000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.01199897
 16.12000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 16.64000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 17.16000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 17.68000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 18.20000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 18.72000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 19.24000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 19.76000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 20.28000000,  0.00100000,  1.00000000,  0.99980000,  1.00000000,  0.00000000
 -5.20000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -4.68000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -4.16000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -3.64000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -3.12000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -2.60000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -2.08000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -1.56000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -1.04000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -0.52000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00018442
  0.00000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00147069
  0.52000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00409679
  1.04000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00696435
  1.56000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00982175
  2.08000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.01266903
  2.60000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.01550622
  3.12000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.01833337
  3.64000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.02115053
  4.16000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.02395771
  4.68000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.02675498
  5.20000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.02954237
  5.72000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.03231990
  6.24000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.03508764
  6.76000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.03784561
  7.28000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.04059385
  7.80000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.04333240
  8.32000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.04606130
  8.84000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.04878059
  9.36000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.05149030
  9.88000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.05419048
 10.40000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.05688115
 10.92000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.05956237
 11.44000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.06223416
 11.96000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.06489656
 12.48000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.06754961
 13.00000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.07019334
 13.52000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.07282780
 14.04000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.07545301
 14.56000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.07448136
 15.08000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.05473754
 15.60000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.01871050
 16.12000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 16.64000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 17.16000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 17.68000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 18.20000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 18.72000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 19.24000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 19.76000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 20.28000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -5.20000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -4.68000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -4.16000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -3.64000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -3.12000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -2.60000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -2.08000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -1.56000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -1.04000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00006332
 -0.52000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00064996
  0.00000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00298061
  0.52000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00704412
