x,a,l,lp,t,n
-5.2,1,0.9999,1,0.001,0
-4.68,1,0.9999,1,0.001,0
-4.16,1,0.9999,1,0.001,0
-3.64,1,0.9999,1,0.001,0
-3.12,1,0.9999,1,0.001,0
-2.6,1,0.9999,1,0.001,0
-2.08,1,0.9999,1,0.001,0
-1.56,1,0.9999,1,0.001,0
-1.04,1,0.9999,1,0.001,0
-0.52,1,0.9999,1,0.001,0
0,1,0.9999,1,0.001,0.00027284
0.52,1,0.9999,1,0.001,0.00159436
1.04,1,0.9999,1,0.001,0.00303372
1.56,1,0.9999,1,0.001,0.00447053
2.08,1,0.9999,1,0.001,0.0059048
2.6,1,0.9999,1,0.001,0.00733653
3.12,1,0.9999,1,0.001,0.00876573
3.64,1,0.9999,1,0.001,0.0101924
4.16,1,0.9999,1,0.001,0.01161656
4.68,1,0.9999,1,0.001,0.01303821
5.2,1,0.9999,1,0.001,0.01445735
5.72,1,0.9999,1,0.001,0.015874
6.24,1,0.9999,1,0.001,0.01728816
6.76,1,0.9999,1,0.001,0.01869983
7.28,1,0.9999,1,0.001,0.02010903
7.8,1,0.9999,1,0.001,0.02151575
8.32,1,0.9999,1,0.001,0.02292002
8.84,1,0.9999,1,0.001,0.02432182
9.36,1,0.9999,1,0.001,0.02572117
9.88,1,0.9999,1,0.001,0.02711808
10.4,1,0.9999,1,0.001,0.02851255
10.92,1,0.9999,1,0.001,0.02990458
11.44,1,0.9999,1,0.001,0.0312942
11.96,1,0.9999,1,0.001,0.03268139
12.48,1,0.9999,1,0.001,0.03406616
13,1,0.9999,1,0.001,0.03544854
13.52,1,0.9999,1,0.001,0.03682851
14.04,1,0.9999,1,0.001,0.03820608
14.56,1,0.9999,1,0.001,0.03958127
15.08,1,0.9999,1,0.001,0.03649234
15.6,1,0.9999,1,0.001,0.01651285
16.12,1,0.9999,1,0.001,0
16.64,1,0.9999,1,0.001,0
17.16,1,0.9999,1,0.001,0
17.68,1,0.9999,1,0.001,0
18.2,1,0.9999,1,0.001,0
18.72,1,0.9999,1,0.001,0
19.24,1,0.9999,1,0.001,0
19.76,1,0.9999,1,0.001,0
20.28,1,0.9999,1,0.001,0
-5.2,1,0.9998,0.9999,0.002,0
-4.68,1,0.9998,0.9999,0.002,0
-4.16,1,0.9998,0.9999,0.002,0
-3.64,1,0.9998,0.9999,0.002,0
-3.12,1,0.9998,0.9999,0.002,0
-2.6,1,0.9998,0.9999,0.002,0
-2.08,1,0.9998,0.9999,0.002,0
-1.56,1,0.9998,0.9999,0.002,0
-1.04,1,0.9998,0.9999,0.002,0
-0.52,1,0.9998,0.9999,0.002,0.00005228
0,1,0.9998,0.9999,0.002,0.00080443
0.52,1,0.9998,0.9999,0.002,0.00348906
1.04,1,0.9998,0.9999,0.002,0.0063585
1.56,1,0.9998,0.9999,0.002,0.00921778
2.08,1,0.9998,0.9999,0.002,0.01206692
2.6,1,0.9998,0.9999,0.002,0.01490598
3.12,1,0.9998,0.9999,0.002,0.01773499
3.64,1,0.9998,0.9999,0.002,0.020554
4.16,1,0.9998,0.9999,0.002,0.02336303
4.68,1,0.9998,0.9999,0.002,0.02616214
5.2,1,0.9998,0.9999,0.002,0.02895135
5.72,1,0.9998,0.9999,0.002,0.03173072
6.24,1,0.9998,0.9999,0.002,0.03450027
6.76,1,0.9998,0.9999,0.002,0.03726005
7.28,1,0.9998,0.9999,0.002,0.0400101
7.8,1,0.9998,0.9999,0.002,0.04275045
8.32,1,0.9998,0.9999,0.002,0.04548115
8.84,1,0.9998,0.9999,0.002,0.04820222
9.36,1,0.9998,0.9999,0.002,0.05091372
9.88,1,0.9998,0.9999,0.002,0.05361567
10.4,1,0.9998,0.9999,0.002,0.05630811
10.92,1,0.9998,0.9999,0.002,0.05899109
11.44,1,0.9998,0.9999,0.002,0.06166464
11.96,1,0.9998,0.9999,0.002,0.06432879
12.48,1,0.9998,0.9999,0.002,0.06698358
13,1,0.9998,0.9999,0.002,0.06962905
13.52,1,0.9998,0.9999,0.002,0.07226524
