x,t,activation,stretch,stretch_prev,n
-20.8,0.001,1,1,1,0
-15.6,0.001,1,1,1,0
-10.4,0.001,1,1,1,0
-5.2,0.001,1,1,1,0
0,0.001,1,1,1,0
5.2,0.001,1,1,1,0.01430625
10.4,0.001,1,1,1,0.02836275
15.6,0.001,1,1,1,0.04217599
20.8,0.001,1,1,1,0
26,0.001,1,1,1,0
31.2,0.001,1,1,1,0
36.4,0.001,1,1,1,0
41.6,0.001,1,1,1,0
46.8,0.001,1,1,1,0
52,0.001,1,1,1,0
57.2,0.001,1,1,1,0
62.4,0.001,1,1,1,0
-20.8,0.002,1,0.999375,1,0
-15.6,0.002,1,0.999375,1,0
-10.4,0.002,1,0.999375,1,0
-5.2,0.002,1,0.999375,1,0
0,0.002,1,0.999375,1,0.00362878
5.2,0.002,1,0.999375,1,0.03107127
10.4,0.002,1,0.999375,1,0.05836007
15.6,0.002,1,0.999375,1,0.07057378
20.8,0.002,1,0.999375,1,0
26,0.002,1,0.999375,1,0
31.2,0.002,1,0.999375,1,0
36.4,0.002,1,0.999375,1,0
41.6,0.002,1,0.999375,1,0
46.8,0.002,1,0.999375,1,0
52,0.002,1,0.999375,1,0
57.2,0.002,1,0.999375,1,0
62.4,0.002,1,0.999375,1,0
-20.8,0.003,1,0.99875,0.999375,0
-15.6,0.003,1,0.99875,0.999375,0
-10.4,0.003,1,0.99875,0.999375,0
-5.2,0.003,1,0.99875,0.999375,0.00043432
0,0.003,1,0.99875,0.999375,0.00865955
5.2,0.003,1,0.99875,0.999375,0.04921217
10.4,0.003,1,0.99875,0.999375,0.08707527
15.6,0.003,1,0.99875,0.999375,0.09396442
20.8,0.003,1,0.99875,0.999375,0
26,0.003,1,0.99875,0.999375,0
31.2,0.003,1,0.99875,0.999375,0
36.4,0.003,1,0.99875,0.999375,0
41.6,0.003,1,0.99875,0.999375,0
46.8,0.003,1,0.99875,0.999375,0
52,0.003,1,0.99875,0.999375,0
57.2,0.003,1,0.99875,0.999375,0
62.4,0.003,1,0.99875,0.999375,0
-20.8,0.004,1,0.998125,0.99875,0
-15.6,0.004,1,0.998125,0.99875,0
-10.4,0.004,1,0.998125,0.99875,0.00004656
-5.2,0.004,1,0.998125,0.99875,0.00134204
0,0.004,1,0.998125,0.99875,0.01497063
5.2,0.004,1,0.998125,0.99875,0.0683636
10.4,0.004,1,0.998125,0.99875,0.1140871
15.6,0.004,1,0.998125,0.99875,0.11323079
20.8,0.004,1,0.998125,0.99875,0
26,0.004,1,0.998125,0.99875,0
31.2,0.004,1,0.998125,0.99875,0
36.4,0.004,1,0.998125,0.99875,0
41.6,0.004,1,0.998125,0.99875,0
46.8,0.004,1,0.998125,0.99875,0
52,0.004,1,0.998125,0.99875,0
57.2,0.004,1,0.998125,0.99875,0
62.4,0.004,1,0.998125,0.99875,0
-20.8,0.005,1,0.9975,0.998125,0
-15.6,0.005,1,0.9975,0.998125,0.00000499
-10.4,0.005,1,0.9975,0.998125,0.00017661
-5.2,0.005,1,0.9975,0.998125,0.00273627
0,0.005,1,0.9975,0.998125,0.02242044
5.2,0.005,1,0.9975,0.998125,0.08815992
10.4,0.005,1,0.9975,0.998125,0.13915317
15.6,0.005,1,0.9975,0.998125,0.1291001
20.8,0.005,1,0.9975,0.998125,0
26,0.005,1,0.9975,0.998125,0
31.2,0.005,1,0.9975,0.998125,0
36.4,0.005,1,0.9975,0.998125,0
41.6,0.005,1,0.9975,0.998125,0
46.8,0.005,1,0.9975,0.998125,0
52,0.005,1,0.9975,0.998125,0
57.2,0.005,1,0.9975,0.998125,0
62.4,0.005,1,0.9975,0.998125,0
-20.8,0.006,1,0.996875,0.9975,0.00000053
-15.6,0.006,1,0.996875,0.9975,0.00002244
-10.4,0.006,1,0.996875,0.9975,0.00041757
-5.2,0.006,1,0.996875,0.9975,0.004609
0,0.006,1,0.996875,0.9975,0.03084793
5.2,0.006,1,0.996875,0.9975,0.1082581
10.4,0.006,1,0.996875,0.9975,0.1621615
15.6,0.006,1,0.996875,0.9975,0.14217131
20.8,0.006,1,0.996875,0.9975,0
26,0.006,1,0.996875,0.9975,0
31.2,0.006,1,0.996875,0.9975,0
36.4,0.006,1,0.996875,0.9975,0
41.6,0.006,1,0.996875,0.9975,0
46.8,0.006,1,0.996875,0.9975,0
52,0.006,1,0.996875,0.9975,0
57.2,0.006,1,0.996875,0.9975,0
62.4,0.006,1,0.996875,0.9975,0
-20.8,0.007,1,0.99625,0.996875,0.00000278
-15.6,0.007,1,0.99625,0.996875,0.00006055
-10.4,0.007,1,0.99625,0.996875,0.00078785
-5.2,0.007,1,0.99625,0.996875,0.00693542
0,0.007,1,0.99625,0.996875,0.04008282
5.2,0.007,1,0.99625,0.996875,0.12835105
10.4,0.007,1,0.99625,0.996875,0.18309336
15.6,0.007,1,0.99625,0.996875,0.15293778
20.8,0.007,1,0.99625,0.996875,0
26,0.007,1,0.99625,0.996875,0
